Date,Giving,Designated,PassThrough,Earned,Staff,Operations,Ministry,Debt,Capital,PassThroughExpense,DesignatedGifts
2016-10-01,11221,0,0,500,9826,2995,2124,1217,0,0,0
2016-11-01,11308,0,0,2777,155,2144,1351,1217,0,0,0
2016-12-01,15295,0,0,1164,10339,4618,3090,1217,0,0,0
2017-01-01,10464,2130,0,1310,6800,3243,978,1219,0,0,2130
2017-02-01,11519,3205,300,60,6800,2559,-116,1219,0,300,3205
2017-03-01,11887,50,7,826,6800,2613,6006,1219,0,7,50
2017-04-01,14450,3240,103,815,6800,2704,898,1219,0,103,3240
2017-05-01,11576,50,-175,1165,6800,2624,4100,1219,0,-175,50
2017-06-01,9696,350,1154,10979,6800,2821,3314,1219,0,1154,350
